Instancia,Viabilidade H,Tempo total (s) H,Tempo medio (s) H,Valor da função objetivo H,Viabilidade MS,Tempo total (s) MS,Tempo medio (s) MS,Valor da função objetivo MS,Viabilidade IG,Tempo total (s) IG,Tempo medio (s) IG,Valor da função objetivo IG,Viabilidade GRASP_VND,Tempo total (s) GRASP_VND,Tempo medio (s) GRASP_VND,Valor da função objetivo GRASP_VND,Viabilidade GRASP_RVND,Tempo total (s) GRASP_RVND,Tempo medio (s) GRASP_RVND,Valor da função objetivo GRASP_RVND,Viabilidade ILS_VND,Tempo total (s) ILS_VND,Tempo medio (s) ILS_VND,Valor da função objetivo ILS_VND,Viabilidade ILS_RVND,Tempo total (s) ILS_RVND,Tempo medio (s) ILS_RVND,Valor da função objetivo ILS_RVND,delta (%) MS-H,delta (%) IG-H,delta (%) IG-MS,delta (%) GRASP_RVND-H,delta (%) GRASP_RVND-MS,delta (%) ILS_RVND-H,delta (%) ILS_RVND-MS,delta (%) GRASP_RVND-GRASP_VND,delta (%) ILS_RVND-ILS_VND,delta (%) ILS_RVND-GRASP_RVND
/instancia_120projetos_10sondas_delta_t28.dat,feasible,0.07074666023254395,0.035373806953430176,61996.58,feasible,0.7455053329467773,0.3727530241012573,61877.44999999999,feasible,0.47445130348205566,0.23722600936889648,61815.63,feasible,146.13920402526855,73.06960260868073,62032.37000000001,feasible,573.0088136196136,286.5044071674347,62032.37,feasible,164.03739881515503,82.01869988441467,62032.37000000001,feasible,305.73595333099365,152.86797714233398,62066.10000000001,-0.0019215576085005322,-0.002918709386872701,-0.0009990715519141858,0.0005772899085723901,0.002503658440999311,0.0011213521778138625,0.0030487681699879893,-1.1729291681397027e-16,0.0005437483687952467,0.0005437483687953641
/instancia_140projetos_10sondas_delta_t28.dat,feasible,0.09072327613830566,0.045362114906311035,29627.530000000002,feasible,0.9171233177185059,0.4585620164871216,29940.690000000006,feasible,0.4490535259246826,0.22452712059020996,29805.010000000013,feasible,807.4397842884064,403.71989274024963,30127.540000000005,feasible,2848.7217104434967,1424.3608558177948,30127.54,feasible,627.4012951850891,313.7006479501724,30127.540000000008,feasible,2075.362356185913,1037.6811785697937,30127.54000000001,0.010569899009468675,0.005990374492912857,-0.004531625690656862,0.016876533413348948,0.006240671140177293,0.016876533413349316,0.006240671140177657,-1.207526006800327e-16,1.2075260068003268e-16,3.6225780204009813e-16
/instancia_130projetos_10sondas_delta_t28.dat,feasible,0.0767357349395752,0.03836822509765625,23930.179999999986,feasible,0.7814450263977051,0.3907228708267212,24052.929999999997,feasible,0.466644287109375,0.2333226203918457,24052.930000000008,feasible,422.7158913612366,211.35794615745544,24052.93,feasible,1582.2201771736145,791.1100889444351,24052.929999999997,feasible,337.88865900039673,168.94432997703552,24052.930000000004,feasible,1266.0526978969574,633.0263493061066,24052.93000000001,0.005129505920975563,0.005129505920976019,4.537466504610931e-16,0.005129505920975563,0.0,0.005129505920976171,6.049955339481242e-16,-1.5124888348703102e-16,3.02497766974062e-16,6.049955339481242e-16
/instancia_110projetos_10sondas_delta_t28.dat,feasible,0.05724024772644043,0.028620481491088867,50998.389999999985,feasible,0.5753254890441895,0.28766322135925293,50903.49999999999,feasible,0.3905012607574463,0.1952509880065918,50947.43,feasible,198.78969645500183,99.39484858512878,50998.389999999985,feasible,631.1868183612823,315.59340953826904,50998.389999999985,feasible,192.31572365760803,96.15786218643188,50782.900000000016,feasible,453.759996175766,226.87999856472015,50670.649999999994,-0.0018606469733650842,-0.0009992472311377788,0.0008630054907817257,0.0,0.0018641154341055557,-0.006426477384874126,-0.004574341646448645,0.0,-0.002210389717799137,-0.006426477384874126
/instancia_130projetos_2sondas_delta_t28.dat,feasible,0.020978927612304688,0.010489940643310547,31385.049999999992,feasible,0.20395922660827637,0.10198009014129639,31680.06999999999,feasible,0.1596393585205078,0.07982003688812256,31164.949999999997,feasible,1418.6296548843384,709.3148277997971,33705.41999999999,feasible,791.5857000350952,395.7928503751755,33964.72999999999,feasible,645.9872493743896,322.993625164032,33245.149999999994,feasible,759.1306593418121,379.5653301477432,33852.63000000001,0.00940001688702095,-0.007012893081259866,-0.016260065081926647,0.08219454804118513,0.07211663358067077,0.07862278377762727,0.06857813129832174,0.0076934214141226465,0.018272740535086106,-0.003300482588849573
/instancia_50projetos_2sondas_delta_t28.dat,feasible,0.0040209293365478516,0.002010941505432129,18362.688768341148,feasible,0.03763294219970703,0.018816828727722168,17003.842379877962,feasible,0.02980804443359375,0.014904379844665527,16298.367255391628,feasible,160.98404717445374,80.49202394485474,18389.912454493096,feasible,183.18203282356262,91.59101688861847,18389.9124544931,feasible,127.24763107299805,63.62381613254547,18362.688768341144,feasible,143.39879179000854,71.69939625263214,18389.912454493093,-0.07400040405879739,-0.11241934876708186,-0.0414891592573912,0.0014825544611357924,0.08151510956461158,0.0014825544611353962,0.08151510956461115,1.978246941682894e-16,0.0014825544611355946,-3.956493883365787e-16
/instancia_170projetos_2sondas_delta_t28.dat,feasible,0.030447006225585938,0.01522374153137207,22998.660000000003,feasible,0.30365419387817383,0.15182745456695557,24304.630000000005,feasible,0.27284955978393555,0.13642513751983643,24405.930000000004,feasible,406.38589358329773,203.19294726848602,24914.67000000001,feasible,262.5965669155121,131.2982838153839,25230.490000000005,feasible,192.11826467514038,96.05913281440735,26192.260000000002,feasible,159.66423892974854,79.83212006092072,25639.989999999998,0.05678461266873813,0.06118921711090995,0.0041679301433512565,0.09704174069271868,0.03809397633290449,0.11484712587602904,0.05494261792917617,0.012676065948294558,-0.021085236630974342,0.0162303625494389
/instancia_150projetos_2sondas_delta_t28.dat,feasible,0.04738759994506836,0.023694157600402832,33816.11000000001,feasible,0.2500319480895996,0.12501633167266846,34177.80000000001,feasible,0.1884443759918213,0.09422266483306885,34097.030000000006,feasible,470.2904908657074,235.14524579048157,35207.60000000003,feasible,301.66572427749634,150.83286261558533,35381.62,feasible,201.44317889213562,100.72158980369568,35463.97000000001,feasible,324.6842224597931,162.3421117067337,33720.63,0.010695789669480087,0.00830728312629685,-0.0023632299328805264,0.04629479854424398,0.0352222787891553,-0.0028235063110455478,-0.01337622667345507,0.0049426828298428415,-0.04915806098414844,-0.046944995735073894
/instancia_150projetos_5sondas_delta_t28.dat,feasible,0.054071903228759766,0.027036309242248535,72079.58000000002,feasible,0.5600490570068359,0.2800248861312866,73599.67,feasible,0.30771398544311523,0.15385735034942627,73344.87,feasible,2353.8629236221313,1176.9314624071121,73095.81999999998,feasible,3161.606448173523,1580.8032244443893,73634.43999999999,feasible,1932.2841074466705,966.1420542001724,73870.72000000002,feasible,2884.5490975379944,1442.274549126625,74063.97,0.021089051850745822,0.017554070098632357,-0.0034619720441681724,0.021571435349650638,0.0004724205964509015,0.027530543324475316,0.006308452198223211,0.00736868400956457,0.002616056808434863,0.005833275842119713
/instancia_100projetos_5sondas_delta_t28.dat,feasible,0.026047229766845703,0.013023972511291504,57871.3289680015,feasible,0.2622792720794678,0.1311401128768921,58247.791722737085,feasible,0.13355708122253418,0.06677889823913574,58094.98753537138,feasible,646.6278402805328,323.31392073631287,58143.65409032095,feasible,1682.5257241725922,841.2628625631332,58414.26985551488,feasible,681.4025118350983,340.701256275177,58405.291027932464,feasible,1453.4707396030426,726.7353702783585,58406.84728696185,0.006505168646528586,0.0038647560261411236,-0.0026233473037581005,0.009381863129730213,0.0028581020473744676,0.00925360326970286,0.0027306711468458324,0.0046542614052696284,2.664585694197696e-05,-0.00012706772799509703
/instancia_120projetos_2sondas_delta_t28.dat,feasible,0.01695537567138672,0.008478045463562012,23939.66999999999,feasible,0.15450119972229004,0.07725095748901367,24218.27999999999,feasible,0.14195799827575684,0.07097935676574707,24304.300000000003,feasible,1704.8830332756042,852.4415171146393,24802.19999999999,feasible,1309.173640012741,654.5868204832077,25141.489999999998,feasible,658.5279686450958,329.2639846801758,25195.539999999997,feasible,1166.62407040596,583.3120355606079,25896.29999999999,0.011638005035157155,0.015231204105988598,0.0035518624774348705,0.05020202868293537,0.03812037849095835,0.08173170306858858,0.06928733171802445,0.013679834853360117,0.02781285894249503,0.03002248474533492
/instancia_160projetos_10sondas_delta_t28.dat,feasible,0.1089937686920166,0.054497361183166504,58198.32,feasible,1.066478967666626,0.5332398414611816,58145.12,feasible,0.5599658489227295,0.2799832820892334,57337.29000000002,feasible,1229.174068927765,614.5870348215103,58148.060000000005,feasible,2623.069415807724,1311.5347083806992,58198.31999999999,feasible,986.058690071106,493.02934539318085,58166.30000000002,feasible,2647.603621482849,1323.8018110990524,58079.73999999999,-0.0009141157339249155,-0.014794756962056241,-0.013893341350056203,-1.2502006267850043e-16,0.0009149521060407101,-0.002037515859564486,-0.001124427982950451,0.0008643452593257192,-0.0014881469166858946,-0.0020375158595643613
/instancia_140projetos_5sondas_delta_t28.dat,feasible,0.047998905181884766,0.023999810218811035,52225.08,feasible,0.4849069118499756,0.24245381355285645,52014.070000000014,feasible,0.28441476821899414,0.14220786094665527,52749.540000000015,feasible,1228.1686282157898,614.0843144655228,52825.09000000002,feasible,1926.6958827972412,963.3479418754578,53093.58000000001,feasible,884.2620899677277,442.1310453414917,52601.70000000001,feasible,1819.9966588020325,909.9983297586441,53429.670000000006,-0.004040395917057235,0.010042301514904595,0.01413982793501837,0.01662994101684492,0.02075419208687177,0.023065354806541295,0.027215712979199492,0.00508262267040133,0.015740365805667757,0.00633014387050179
