Instancia,Viabilidade,Criterio guloso,Tempo total (s),Tempo medio (s),Valor da função objetivo,MultStart viabilidade,MultStart Tempo total (s),MultStart Tempo medio (s),MultStart Função Objetivo,delta (%)
/instancia_300projetos_5sondas_delta_t7.dat,feasible,duracao,0.47018980979919434,0.23509562015533447,90145.06635369874,feasible,46.38369178771973,23.19184672832489,123998.43178446862,0.37554318611226845
/instancia_300projetos_5sondas_delta_t7.dat,feasible,janela,0.5574283599853516,0.2787148952484131,81009.93763569508,feasible,46.38369178771973,23.19184672832489,123998.43178446862,0.5306570453379992
/instancia_500projetos_5sondas_delta_t1.dat,feasible,lucro,1.0143442153930664,0.5071729421615601,106469.79496883189,feasible,106.1578426361084,53.07892203330994,109405.7742702845,0.027575701656156002
/instancia_500projetos_5sondas_delta_t1.dat,feasible,lucro/custo,1.0557823181152344,0.527891993522644,101539.87591303438,feasible,106.1578426361084,53.07892203330994,109405.7742702845,0.07746610173117607
/instancia_500projetos_5sondas_delta_t1.dat,feasible,lucro/duracao,1.0084078311920166,0.5042046308517456,105825.39324256478,feasible,106.1578426361084,53.07892203330994,109405.7742702845,0.0338329102119474
/instancia_500projetos_5sondas_delta_t1.dat,feasible,custo,1.0376160144805908,0.5188087224960327,60866.49896435805,feasible,106.1578426361084,53.07892203330994,109405.7742702845,0.7974711233900585
/instancia_500projetos_5sondas_delta_t1.dat,feasible,duracao,1.080383539199829,0.5401924848556519,66376.37406891045,feasible,106.1578426361084,53.07892203330994,109405.7742702845,0.6482637957400612
/instancia_500projetos_5sondas_delta_t1.dat,feasible,janela,1.446965217590332,0.7234834432601929,40544.143319062154,feasible,106.1578426361084,53.07892203330994,109405.7742702845,1.6984359592781555
/instancia_300projetos_20sondas_delta_t28.dat,feasible,lucro,1.468271017074585,0.7341363430023193,92459.11550505827,feasible,162.66213130950928,81.33106648921967,95018.07611940718,0.02767667201195442
/instancia_300projetos_20sondas_delta_t28.dat,feasible,lucro/custo,1.5224766731262207,0.7612391710281372,95455.1208735308,feasible,162.66213130950928,81.33106648921967,95018.07611940718,-0.004578536490490276
/instancia_300projetos_20sondas_delta_t28.dat,feasible,lucro/duracao,1.4686322212219238,0.7343169450759888,95227.04729521555,feasible,162.66213130950928,81.33106648921967,95018.07611940718,-0.002194451909871109
/instancia_300projetos_20sondas_delta_t28.dat,feasible,custo,1.5255100727081299,0.7627559900283813,68150.05009814455,feasible,162.66213130950928,81.33106648921967,95018.07611940718,0.39424807439714765
/instancia_300projetos_20sondas_delta_t28.dat,feasible,duracao,1.7223339080810547,0.8611676692962646,67517.8603702778,feasible,162.66213130950928,81.33106648921967,95018.07611940718,0.407302832144179
